['stringId_A', 'stringId_B', 'preferredName_A', 'preferredName_B', 'ncbiTaxonId', 'score', 'nscore', 'fscore', 'pscore', 'ascore', 'escore', 'dscore', 'tscore']
['9606.ENSP00000162749', '9606.ENSP00000398698', 'TNFRSF1A', 'TNF', '9606', '0.999', '0', '0', '0', '0.061', '0.882', '0.9', '0.951']
['9606.ENSP00000162749', '9606.ENSP00000403495', 'TNFRSF1A', 'LTA', '9606', '0.997', '0', '0', '0', '0.061', '0.89', '0.9', '0.801']
['9606.ENSP00000162749', '9606.ENSP00000341268', 'TNFRSF1A', 'TRADD', '9606', '0.996', '0', '0', '0', '0.078', '0.472', '0.9', '0.935']
['9606.ENSP00000162749', '9606.ENSP00000247668', 'TNFRSF1A', 'TRAF2', '9606', '0.994', '0', '0', '0', '0.061', '0.709', '0.9', '0.807']
['9606.ENSP00000162749', '9606.ENSP00000365435', 'TNFRSF1A', 'TNFRSF1B', '9606', '0.994', '0', '0', '0', '0.063', '0.336', '0.9', '0.923']
['9606.ENSP00000162749', '9606.ENSP00000301838', 'TNFRSF1A', 'FADD', '9606', '0.993', '0', '0', '0', '0.061', '0.527', '0.9', '0.873']
['9606.ENSP00000162749', '9606.ENSP00000351273', 'TNFRSF1A', 'CASP8', '9606', '0.989', '0', '0', '0', '0.062', '0.48', '0.9', '0.815']
['9606.ENSP00000162749', '9606.ENSP00000430684', 'TNFRSF1A', 'IKBKB', '9606', '0.986', '0', '0', '0', '0.062', '0.701', '0.9', '0.58']
['9606.ENSP00000162749', '9606.ENSP00000259808', 'TNFRSF1A', 'RIPK1', '9606', '0.985', '0', '0', '0', '0.081', '0.46', '0.9', '0.738']
['9606.ENSP00000162749', '9606.ENSP00000477613', 'TNFRSF1A', 'BIRC2', '9606', '0.981', '0', '0', '0', '0.049', '0.412', '0.9', '0.701']
['9606.ENSP00000227752', '9606.ENSP00000412237', 'IL10RA', 'IL10', '9606', '0.998', '0', '0', '0', '0.075', '0.87', '0.9', '0.923']
['9606.ENSP00000227752', '9606.ENSP00000290200', 'IL10RA', 'IL10RB', '9606', '0.995', '0', '0', '0', '0.079', '0.379', '0.9', '0.928']
['9606.ENSP00000227752', '9606.ENSP00000343204', 'IL10RA', 'JAK1', '9606', '0.994', '0', '0', '0', '0', '0.87', '0.9', '0.589']
['9606.ENSP00000227752', '9606.ENSP00000264657', 'IL10RA', 'STAT3', '9606', '0.975', '0', '0', '0', '0.061', '0.299', '0.9', '0.669']
['9606.ENSP00000227752', '9606.ENSP00000270800', 'IL10RA', 'IL22RA1', '9606', '0.962', '0', '0', '0', '0', '0', '0.9', '0.636']
['9606.ENSP00000227752', '9606.ENSP00000354394', 'IL10RA', 'STAT1', '9606', '0.96', '0', '0', '0', '0.063', '0.17', '0.9', '0.553']
['9606.ENSP00000227752', '9606.ENSP00000431885', 'IL10RA', 'TYK2', '9606', '0.959', '0', '0', '0', '0.079', '0', '0.9', '0.59']
['9606.ENSP00000227752', '9606.ENSP00000341208', 'IL10RA', 'STAT5A', '9606', '0.951', '0', '0', '0', '0.141', '0.17', '0.9', '0.398']
['9606.ENSP00000227752', '9606.ENSP00000293328', 'IL10RA', 'STAT5B', '9606', '0.946', '0', '0', '0', '0.07', '0.17', '0.9', '0.383']
['9606.ENSP00000227752', '9606.ENSP00000442424', 'IL10RA', 'IL22', '9606', '0.939', '0', '0', '0', '0', '0', '0.9', '0.419']
['9606.ENSP00000228918', '9606.ENSP00000403495', 'LTBR', 'LTA', '9606', '0.996', '0', '0', '0', '0', '0.882', '0.9', '0.696']
['9606.ENSP00000228918', '9606.ENSP00000410481', 'LTBR', 'LTB', '9606', '0.996', '0', '0', '0', '0', '0.882', '0.9', '0.69']
['9606.ENSP00000228918', '9606.ENSP00000469049', 'LTBR', 'TNFSF14', '9606', '0.981', '0', '0', '0', '0', '0.472', '0.9', '0.673']
['9606.ENSP00000228918', '9606.ENSP00000398698', 'LTBR', 'TNF', '9606', '0.973', '0', '0', '0', '0', '0.418', '0.9', '0.585']
['9606.ENSP00000228918', '9606.ENSP00000454207', 'LTBR', 'TRAF3', '9606', '0.972', '0', '0', '0', '0', '0.421', '0.9', '0.569']
['9606.ENSP00000228918', '9606.ENSP00000477613', 'LTBR', 'BIRC2', '9606', '0.959', '0', '0', '0', '0', '0.377', '0.9', '0.408']
