['stringId_A', 'stringId_B', 'preferredName_A', 'preferredName_B', 'ncbiTaxonId', 'score', 'nscore', 'fscore', 'pscore', 'ascore', 'escore', 'dscore', 'tscore']
['9606.ENSP00000206765', '9606.ENSP00000375678', 'TGM1', 'KLK14', '9606', '0.456', '0', '0', '0', '0.076', '0', '0', '0.436']
['9606.ENSP00000206765', '9606.ENSP00000302579', 'TGM1', 'SCEL', '9606', '0.461', '0', '0', '0', '0.076', '0', '0', '0.44']
['9606.ENSP00000206765', '9606.ENSP00000375683', 'TGM1', 'KLK7', '9606', '0.48', '0', '0', '0', '0', '0', '0', '0.48']
['9606.ENSP00000206765', '9606.ENSP00000352936', 'TGM1', 'SPINK5', '9606', '0.504', '0', '0', '0', '0.061', '0', '0', '0.494']
['9606.ENSP00000206765', '9606.ENSP00000301653', 'TGM1', 'KRT16', '9606', '0.508', '0', '0', '0', '0.114', '0', '0', '0.467']
['9606.ENSP00000206765', '9606.ENSP00000269576', 'TGM1', 'KRT10', '9606', '0.67', '0', '0', '0', '0', '0', '0', '0.67']
['9606.ENSP00000206765', '9606.ENSP00000252244', 'TGM1', 'KRT1', '9606', '0.699', '0', '0', '0', '0', '0', '0', '0.699']
['9606.ENSP00000206765', '9606.ENSP00000357768', 'TGM1', 'LCE2A', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000335358', 'TGM1', 'LCE3B', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000334644', 'TGM1', 'LCE3C', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000334869', 'TGM1', 'LCE1A', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000334187', 'TGM1', 'LCE1F', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000357736', 'TGM1', 'LELP1', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000357772', 'TGM1', 'LCE2C', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000357773', 'TGM1', 'LCE2D', '9606', '0.9', '0', '0', '0', '0', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000475270', 'TGM1', 'LCE1C', '9606', '0.901', '0', '0', '0', '0.06', '0', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000316737', 'TGM1', 'LCE1D', '9606', '0.902', '0', '0', '0', '0', '0', '0.9', '0.064']
['9606.ENSP00000206765', '9606.ENSP00000357778', 'TGM1', 'LCE3E', '9606', '0.903', '0', '0', '0', '0.07', '0', '0.9', '0.048']
['9606.ENSP00000206765', '9606.ENSP00000411070', 'TGM1', 'LCE6A', '9606', '0.904', '0', '0', '0', '0', '0', '0.9', '0.083']
['9606.ENSP00000206765', '9606.ENSP00000357766', 'TGM1', 'LCE4A', '9606', '0.907', '0', '0', '0', '0', '0.113', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000357759', 'TGM1', 'LCE1E', '9606', '0.907', '0', '0', '0', '0', '0.114', '0.9', '0']
['9606.ENSP00000206765', '9606.ENSP00000418193', 'TGM1', 'SPRR2F', '9606', '0.908', '0', '0', '0', '0', '0', '0.9', '0.122']
['9606.ENSP00000206765', '9606.ENSP00000333952', 'TGM1', 'LCE5A', '9606', '0.912', '0', '0', '0', '0', '0', '0.9', '0.161']
['9606.ENSP00000206765', '9606.ENSP00000335006', 'TGM1', 'LCE3A', '9606', '0.913', '0', '0', '0', '0', '0.099', '0.9', '0.117']
['9606.ENSP00000206765', '9606.ENSP00000280904', 'TGM1', 'DSC2', '9606', '0.913', '0', '0', '0', '0.061', '0', '0.9', '0.156']
['9606.ENSP00000206765', '9606.ENSP00000357740', 'TGM1', 'SPRR2E', '9606', '0.913', '0', '0', '0', '0.088', '0', '0.9', '0.123']
['9606.ENSP00000206765', '9606.ENSP00000376423', 'TGM1', 'SPRR2A', '9606', '0.914', '0', '0', '0', '0.088', '0', '0.9', '0.141']
['9606.ENSP00000206765', '9606.ENSP00000331678', 'TGM1', 'PKP3', '9606', '0.917', '0', '0', '0', '0.086', '0', '0.9', '0.17']
['9606.ENSP00000206765', '9606.ENSP00000353608', 'TGM1', 'DSC3', '9606', '0.918', '0', '0', '0', '0.052', '0', '0.9', '0.21']
['9606.ENSP00000206765', '9606.ENSP00000357769', 'TGM1', 'LCE2B', '9606', '0.92', '0', '0', '0', '0', '0', '0.9', '0.237']
['9606.ENSP00000206765', '9606.ENSP00000352785', 'TGM1', 'DSG4', '9606', '0.92', '0', '0', '0', '0.063', '0', '0.9', '0.216']
['9606.ENSP00000206765', '9606.ENSP00000243924', 'TGM1', 'PI3', '9606', '0.923', '0', '0', '0', '0.069', '0', '0.9', '0.243']
['9606.ENSP00000206765', '9606.ENSP00000357746', 'TGM1', 'SPRR2D', '9606', '0.923', '0', '0', '0', '0.077', '0', '0.9', '0.241']
['9606.ENSP00000206765', '9606.ENSP00000369129', 'TGM1', 'DSP', '9606', '0.923', '0', '0', '0', '0.062', '0', '0.9', '0.249']
['9606.ENSP00000206765', '9606.ENSP00000257189', 'TGM1', 'DSG3', '9606', '0.924', '0', '0', '0', '0', '0', '0.9', '0.278']
['9606.ENSP00000206765', '9606.ENSP00000357737', 'TGM1', 'SPRR2G', '9606', '0.924', '0', '0', '0', '0.065', '0', '0.9', '0.261']
['9606.ENSP00000206765', '9606.ENSP00000353203', 'TGM1', 'LCE1B', '9606', '0.926', '0', '0', '0', '0.062', '0.11', '0.9', '0.227']
['9606.ENSP00000206765', '9606.ENSP00000263946', 'TGM1', 'PKP1', '9606', '0.929', '0', '0', '0', '0.076', '0', '0.9', '0.294']
['9606.ENSP00000206765', '9606.ENSP00000257198', 'TGM1', 'DSC1', '9606', '0.929', '0', '0', '0', '0', '0', '0.9', '0.323']
['9606.ENSP00000206765', '9606.ENSP00000393417', 'TGM1', 'CASP14', '9606', '0.93', '0', '0', '0', '0', '0', '0.9', '0.33']
['9606.ENSP00000206765', '9606.ENSP00000330391', 'TGM1', 'SPRR3', '9606', '0.93', '0', '0', '0', '0.076', '0', '0.9', '0.311']
['9606.ENSP00000206765', '9606.ENSP00000480484', 'TGM1', 'TCHH', '9606', '0.933', '0', '0', '0', '0', '0', '0.9', '0.364']
['9606.ENSP00000206765', '9606.ENSP00000317895', 'TGM1', 'RPTN', '9606', '0.935', '0', '0', '0', '0', '0', '0.9', '0.385']
['9606.ENSP00000206765', '9606.ENSP00000357776', 'TGM1', 'LCE3D', '9606', '0.937', '0', '0', '0', '0.069', '0', '0.9', '0.383']
['9606.ENSP00000206765', '9606.ENSP00000357744', 'TGM1', 'SPRR2B', '9606', '0.938', '0', '0', '0', '0.065', '0', '0.9', '0.399']
['9606.ENSP00000206765', '9606.ENSP00000340510', 'TGM1', 'PPL', '9606', '0.942', '0', '0', '0', '0.081', '0', '0.9', '0.421']
['9606.ENSP00000206765', '9606.ENSP00000257192', 'TGM1', 'DSG1', '9606', '0.946', '0', '0', '0', '0.087', '0', '0.9', '0.459']
['9606.ENSP00000206765', '9606.ENSP00000301607', 'TGM1', 'EVPL', '9606', '0.947', '0', '0', '0', '0.07', '0', '0.9', '0.475']
['9606.ENSP00000206765', '9606.ENSP00000357751', 'TGM1', 'SPRR1A', '9606', '0.95', '0', '0', '0', '0.118', '0', '0.9', '0.485']
['9606.ENSP00000206765', '9606.ENSP00000365465', 'TGM1', 'CDSN', '9606', '0.951', '0', '0', '0', '0.065', '0', '0.9', '0.523']
['9606.ENSP00000206765', '9606.ENSP00000306461', 'TGM1', 'SPRR1B', '9606', '0.952', '0', '0', '0', '0.121', '0', '0.9', '0.5']
['9606.ENSP00000206765', '9606.ENSP00000264474', 'TGM1', 'CSTA', '9606', '0.954', '0', '0', '0', '0.095', '0', '0.9', '0.539']
['9606.ENSP00000206765', '9606.ENSP00000357789', 'TGM1', 'FLG', '9606', '0.971', '0', '0', '0', '0', '0', '0.9', '0.726']
['9606.ENSP00000206765', '9606.ENSP00000357753', 'TGM1', 'IVL', '9606', '0.979', '0', '0', '0', '0.098', '0', '0.9', '0.793']
